route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
9710,RGRTA,9X/4X ,Webster-Genesee,,3,,,
9711,RGRTA,2X/4X ,Parsells-Genesee,,3,,,
9712,RGRTA,11X/4X ,S Clinton-Genesee,,3,,,
9713,RGRTA,6X/4X ,Clifford-Genesee,,3,,,
9714,RGRTA,16X/4X ,Crosstown-Genesee,,3,,,
9715,RGRTA,7X/1X ,Clinton/Lake,,3,,,
9716,RGRTA,4X/1X ,Hudson/Lake,,3,,,
9717,RGRTA,10X/1X ,Lake/Portland,,3,,,
9718,RGRTA,8X/1X ,E Main/Lake,,3,,,
9719,RGRTA,6X/1X ,Jefferson/Lake,,3,,,
9720,RGRTA,2X/1X ,Thurston/Lake,,3,,,
9721,RGRTA,8X/1X ,Gen Pk Blvd/Lake,,3,,,
9722,RGRTA,10X ,Dewey,,3,,,
9723,RGRTA,9X/1X ,Maple/Lake,,3,,,
9724,RGRTA,3X/1X ,Lyell/Lake,,3,,,
9725,RGRTA,16X/6X ,Crosstown/Clifford,,3,,,
9726,RGRTA,10X/6X ,Dewey/Clifford,,3,,,
9727,RGRTA,9X/6X ,Jay/Clifford,,3,,,
9728,RGRTA,2X/4X/6X ,Thurston/Genesee-Cliffrd,,3,,,
9729,RGRTA,6X ,Jefferson/Clifford,,3,,,
9730,RGRTA,8X/6X ,E Main/Clifford,,3,,,
9731,RGRTA,10X/6X ,Portland/Clifford,,3,,,
9732,RGRTA,4X/6X ,Hudson/Clifford,,3,,,
9733,RGRTA,7X/6X ,N Clinton/Clifford,,3,,,
9734,RGRTA,3X/7X ,Lyell/Monroe,,3,,,
9735,RGRTA,4X/2X/7X ,Genesee/Thur - Monroe,,3,,,
9736,RGRTA,4X/7X ,Hudson/Carter - Monroe,,3,,,
9737,RGRTA,5X/7X ,St Paul/Monroe,,3,,,
9738,RGRTA,6X/7X ,Clifford/Monroe,,3,,,
9739,RGRTA,6X/7X ,Jefferson/Monroe,,3,,,
9740,RGRTA,7X ,Clinton/Monroe,,3,,,
9741,RGRTA,8X/7X ,East Main/Monroe,,3,,,
9742,RGRTA,8X/7X ,Gen Pk Blvd/Monroe,,3,,,
9743,RGRTA,9X/7X ,Maple/Jay - Monroe,,3,,,
9744,RGRTA,9X/7X ,Bay/Webster - Monroe,,3,,,
9745,RGRTA,10X/7X ,Dewey/Monroe,,3,,,
9746,RGRTA,10X/7X ,Portland/Monroe,,3,,,
9747,RGRTA,11X/7X ,Joseph/Monroe,,3,,,
9748,RGRTA,16X/7X ,Crosstown/Monroe,,3,,,
9749,RGRTA,7X/1X ,Mon/Lake,,3,,,
9750,RGRTA,8X/1X , Main/Lake,,3,,,
9751,RGRTA,2X/9X/1X ,Pars/Bay - Lake,,3,,,
9752,RGRTA,6X/1X ,Cliff/Lake,,3,,,
9753,RGRTA,10X/1X ,Port/Lake,,3,,,
9754,RGRTA,4X/11X/1X ,Hud/Joseph - Lake,,3,,,
9755,RGRTA,7X/1X ,N Clinton/Lake,,3,,,
9756,RGRTA,5X/1X , Paul/Lake,,3,,,
9757,RGRTA,10X/1X ,Dew/Lake,,3,,,
9758,RGRTA,16X/1X ,Cross/Lake,,3,,,
9759,RGRTA,3X/1X ,Lyl/Lake,,3,,,
9760,RGRTA,9X/1X ,Jay/Map - Lake,,3,,,
9761,RGRTA,8X/1X ,Gen Blvd/Lake,,3,,,
9762,RGRTA,4X/2X/1X ,Gen/Thurston - Lake,,3,,,
9763,RGRTA,6X/1X ,Plymouth-Jefferson - Lake,,3,,,
9764,RGRTA,1X/5X ,Lake/St Paul,,3,,,
9765,RGRTA,800 ,Misc Express Routes,,3,,,
9766,RGRTA,801 ,Misc Express Routes,,3,,,
9767,RGRTA,802 ,Misc Express Routes,,3,,,
9768,RGRTA,803 ,Misc Express Routes,,3,,,
9769,RGRTA,804 ,Misc Express Routes,,3,,,
9770,RGRTA,805 ,Misc Express Routes,,3,,,
9771,RGRTA,807 ,Misc Express Routes,,3,,,
9772,RGRTA,808 ,Misc Express Routes,,3,,,
9773,RGRTA,19X/8X ,Plymouth/East Main,,3,,,
9774,RGRTA,6X/8X ,Jefferson/East Main,,3,,,
