stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
180,180,Broad & Jay,STATE HWY 31 & JAY ST,43.159266,-77.626688,,,,
181,181,Broad & Jay,STATE HWY 31 & JAY ST,43.159537,-77.62733,,,,
182,182,Broad & Lyell,STATE HWY 31 & JAY ST,43.164034,-77.633671,,,,
183,183,Broad & Lyell,STATE HWY 31 & RAMP,43.163803,-77.633644,,,,
184,184,Broad & Main,,43.154491,-77.620907,,,,
185,185,Broad & Main,STATE HWY 31 & STATE HWY 33,43.154735,-77.620776,,,,
187,187,Broad & Orange,STATE HWY 31 & ORANGE ST,43.158961,-77.626274,,,,
188,188,Broad & Pitkin,BROAD ST E & PITKIN ST,43.154849,-77.598092,,,,
189,189,Broad & Plymouth,STATE HWY 31 & PLYMOUTH AVE S,43.154144,-77.614924,,,,
190,190,Broad & Romeyn,STATE HWY 31 & ROMEYN ST,43.158745,-77.626182,,,,
191,191,Broad & Saxton,STATE HWY 31 & SAXTON ST,43.162552,-77.632404,,,,
192,192,Broad & Saxton,STATE HWY 31 & SAXTON ST,43.162483,-77.632058,,,,
193,193,Broad & Smith,STATE HWY 31 & SMITH ST,43.160593,-77.628514,,,,
194,194,Broad & Stone,STATE HWY 31 & STONE ST,43.154974,-77.607181,,,,
195,195,Broad & Walnut,STATE HWY 31 & WALNUT ST,43.16202,-77.63109,,,,
196,196,Broad & Walnut,STATE HWY 31 & WALNUT ST,43.162005,-77.630693,,,,
197,197,Broadway & Alexander,BROADWAY & ALEXANDER ST,43.146547,-77.599937,,,,
198,198,Broadway & Averill,BROADWAY & AVERILL AVE,43.145462,-77.599087,,,,
199,199,Broadway & Edmunds,BROADWAY & EDMONDS ST,43.142342,-77.595096,,,,
200,200,Broadway & Meigs,BROADWAY & MEIGS ST,43.143391,-77.596875,,,,
201,201,3275 Brockport-Spencerport,STATE HWY 31,43.187286,-77.831542,,,,
202,202,3345 Brockport-Spencerport,STATE HWY 31,43.187593,-77.838876,,,,
204,204,3379 Brockport-Spencerport,STATE HWY 31,43.187728,-77.842376,,,,
205,205,3383 Brockport-Spencerport,STATE HWY 31 & ROLLING ACRE DR,43.187906,-77.842797,,,,
206,206,3397 Brockport-Spencerport,STATE HWY 31 & ROLLING ACRE DR,43.188109,-77.848585,,,,
207,207,5370 Brockport-Spencerport,STATE HWY 31,43.193407,-77.890974,,,,
208,208,5370 Brockport-Spencerport,STATE HWY 31,43.193299,-77.891147,,,,
209,209,5747 Brockport-Spencerport,STATE HWY 31,43.198139,-77.906617,,,,
210,210,5747 Brockport-Spencerport,STATE HWY 31,43.197978,-77.906505,,,,
211,211,6460 Brockport-Spencerport,STATE HWY 31,43.198259,-77.940381,,,,
212,212,Brockport-Spencerport & Hubbell,STATE HWY 31 & COUNTY HWY 206,43.188774,-77.874221,,,,
213,213,Brockport-Spencerport & Hubbell,STATE HWY 31 & COUNTY HWY 206,43.188622,-77.874418,,,,
214,214,Brockport-Spencerport & McDonalds,STATE HWY 31 & STATE HWY 19,43.198425,-77.941989,,,,
215,215,Brockport-Spencerport & Owens,STATE HWY 31 & OWENS RD,43.198159,-77.922287,,,,
216,216,Brockport-Spencerport & Owens,STATE HWY 31 & OWENS RD,43.19832,-77.922436,,,,
217,217,Brockport-Spencerprt & Salmon Creek,STATE HWY 31 & UNNAMED ST,43.190048,-77.884454,,,,
218,218,Brockport-Spencerprt & Salmon Creek,STATE HWY 31 & COUNTY HWY 246,43.189939,-77.884738,,,,
219,219,Brockport-Spencrprt & Sweden Walker,STATE HWY 31 & COUNTY HWY 242,43.198068,-77.899679,,,,
220,220,Brockport-Spencrprt & Sweden Walker,STATE HWY 31 & COUNTY HWY 242,43.197907,-77.899616,,,,
221,221,Brockport-Spencerport & Talamora,STATE HWY 31 & TALAMORA TRL,43.198339,-77.925219,,,,
222,222,Brockport-Spencerport & Talamora,STATE HWY 31 & TALAMORA TRL,43.198185,-77.925799,,,,
223,223,Brockport-Spencerport & Transit,STATE HWY 31 & TRANSIT WAY,43.198381,-77.932281,,,,
224,224,Brockport-Spencerport & Transit,STATE HWY 31 & TRANSIT WAY,43.198228,-77.932564,,,,
225,225,Brockport-Spencerport & Trimmer,STATE HWY 31 & TRIMMER RD,43.186918,-77.82333,,,,
226,226,Brockport-Spencerport & Trimmer,STATE HWY 31 & TRIMMER RD,43.187088,-77.82338,,,,
227,227,Brockport-Spencerport & Washington,STATE HWY 31 & COUNTY HWY 212,43.188141,-77.854273,,,,
228,228,Brockport-Spencerport & Washington,STATE HWY 31 & COUNTY HWY 212,43.188285,-77.853816,,,,
229,229,Brooks & 1214 Brooks,STATE HWY 204 & AIRPORT RD,43.130876,-77.669022,,,,
230,230,Brooks & 760 Brooks,STATE HWY 204 & STATE HWY 204,43.130953,-77.656918,,,,
231,231,Brooks & 760 Brooks,STATE HWY 204 & STATE HWY 204,43.130843,-77.656918,,,,
232,232,Brooks & Barge Canal,STATE HWY 204 & RAMP,43.130817,-77.658501,,,,
233,233,Brooks & Brookdale,,43.130815,-77.652575,,,,
234,234,Brooks & Buell,STATE HWY 204 & COUNTY HWY 162,43.1309,-77.665511,,,,
235,235,Brooks & Buell,STATE HWY 204 & AIRPORT RD,43.130891,-77.667,,,,
236,236,Brooks & Burlington,BROOKS AVE & BURLINGTON AVE,43.131043,-77.646532,,,,
237,237,Brooks & Chandler,BROOKS AVE & CHANDLER ST,43.130946,-77.643467,,,,
238,238,Brooks & Evangeline,BROOKS AVE & EVANGELINE ST,43.131118,-77.641775,,,,
239,239,Brooks & Evangeline,,43.130948,-77.641826,,,,
240,240,Brooks & Fairview,BROOKS AVE & FAIRVIEW AVE,43.130903,-77.650282,,,,
241,241,Brooks & Genesee,BROOKS AVE & GENESEE ST,43.130995,-77.63656,,,,
242,242,Brooks & Genesee Park,BROOKS AVE & GENESEE PARK BLVD,43.130832,-77.653798,,,,
243,243,Brooks & Genesee Park,BROOKS AVE & GENESEE PARK BLVD,43.130961,-77.653465,,,,
244,244,Brooks & Kron,BROOKS AVE & KRON ST,43.130997,-77.640864,,,,
245,245,Brooks Landing,BROOKS AVE & GENESEE ST,43.131152,-77.636895,,,,
246,246,Brooks & Maxwell,BROOKS AVE & MAXWELL AVE,43.131073,-77.644663,,,,
247,247,Brooks & Millbank,BROOKS AVE & MILLBANK ST,43.131124,-77.639509,,,,
248,248,Brooks & Paige,BROOKS AVE & PAIGE ST,43.130998,-77.638911,,,,
249,249,Brooks & Post,BROOKS AVE & POST AVE,43.130935,-77.647748,,,,
250,250,Brooks & Post,BROOKS AVE & POST AVE,43.131047,-77.64757,,,,
251,251,Brooks & Route 390,STATE HWY 204 & RAMP,43.13097,-77.658943,,,,
